National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Netherlands	100-Holding Account	Total E&amp;p Deep Offshore Borneo B.V. 	21	27157042	closed	Account holder	Total E&amp;p Deep Offshore Borneo B.V.	Postbus 93280		2509 AG	'S-GRAVENHAGE	Netherlands	21	Total offshore platform L7 Central Complex	NL-200400190	2005-01-01					p/a Bordewijklaan 18		2591 XR	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	58675	57348	58675	51543	58675	56758	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	58675	58675	58675	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	ENGIE E&amp;P Nederland B.V. 	22	27113806	open	Account holder	ENGIE E&amp;P Nederland B.V.	Einsteinlaan 10		2719 EP	ZOETERMEER	Netherlands	22	ENGIE E&amp;P Nederland B.V., K12-B platform	NL-200400175	2005-01-01					Einsteinlaan 10		2717 EP	Zoetermeer	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	39469	30268	39469	28921	39470	29741	10803	14825	10803	15719	10803	14392	10803	14063	10803	15117	31766	33438	31214	39985	30656	42973	30092	33236	29522	NA	28946	NA	28363	NA	27778	NA	39469	39469	39470	10803	10803	10803	10803	10803	31766	31214	30656	30092	29522	28946	28363	27778
Netherlands	100-Holding Account	ENGIE E&amp;P Nederland B.V. 	23	27113806	closed	Account holder	ENGIE E&amp;P Nederland B.V.	Einsteinlaan 10		2719 EP	ZOETERMEER	Netherlands	23	Gaz de France, K12-CC platform	NL-200400173	2005-01-01					Eleanor Rooseveltlaan 3		2719 AB	ZOETERMEER	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	35447	21039	35447	16225	35447	18102	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	35447	35447	35447	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	ENGIE E&amp;P Nederland B.V. 	24	27113806	closed	Account holder	ENGIE E&amp;P Nederland B.V.	Einsteinlaan 10		2719 EP	ZOETERMEER	Netherlands	24	Gaz de France, L10-A platform	NL-200400172	2005-01-01					Eleanor Rooseveltlaan 3		2719 AB	ZOETERMEER	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	90424	65224	90424	77341	90425	85305	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	90424	90424	90425	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Petrogas E&amp;P Netherlands B.V. 	25	27114238	closed	Account holder	Petrogas E&amp;P Netherlands B.V.	Laan van Zuid Hoorn 14		2289 DE	Rijswijk	Netherlands	25	Helder/ Haven Chevron Exploration and Production Netherlands B.V.	NL-200400281	2005-01-01					Appelgaarde 4		2272 TK	VOORBURG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	39507	39805	39507	38591	39508	36759	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	39507	39507	39508	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Petrogas E&amp;P Netherlands B.V. 	26	27114238	closed	Account holder	Petrogas E&amp;P Netherlands B.V.	Laan van Zuid Hoorn 14		2289 DE	Rijswijk	Netherlands	26	Hoorn - Chevron Expl. and Prod. Netherlands B.V.	NL-200400282	2005-01-01	2013-12-31				Bogaardplein 47		2284 DP	RIJSWIJK	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	29833	23495	29833	11803	29834	27503	15510	11751	15510	12625	15509	11777	15509	11426	15509	11537	16412	13236	0		0		0		0	NA	0	NA	0	NA	0	NA	29833	29833	29834	15510	15510	15509	15509	15509	16412	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Wintershall Noordzee B.V. 	27	27100034	closed	Account holder	Wintershall Noordzee B.V.	Bogaardplein 47		2284 DP	RIJSWIJK ZH	Netherlands	27	Wintershall Noordzee B.V. L8-P4	NL-200400180	2005-01-01					Bogaardplein 47		2284 DP	RIJSWIJK	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	31300	24322	31300	26559	31300	32801	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	31300	31300	31300	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	C.G. Zuurbier &amp; Co Rozenkwekerijen B.V. 	28	37039120	closed	Account holder	C.G. Zuurbier &amp; Co Rozenkwekerijen B.V.	Jan Glijnisweg 12		1703 RL	HEERHUGOWAARD	Netherlands	28	Zuurbier en Co Rozenkwekerijen B.V.	NL-200400304	2005-01-01	2012-02-27				Rustenburgerweg 195		1703 RV	HEERHUGOWAARD	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	28524	17729	28524	17948	28524	19691	18020	20158	18019	18692	32879	23392	28508	22469	28508	4412										NA		NA		NA		NA	28524	28524	28524	18020	18019	32879	28508	28508	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Gebr. Gresnigt Holding B.V. 	29	22058008	open	Account holder	Gebr. Gresnigt Holding B.V.	Kreekweg 2		4421 RV	KAPELLE	Netherlands	29	Gebr. Gresnigt Holding B.V. (Seasun West)	NL-200400135	2005-01-01					Kreekweg 2		4421 RV	KAPELLE	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	46839	43817	46839	41268	46840	41241	42066	40381	42066	36052	42066	42020	42066	40476	42065	42205	25714	36802	23012	30260	20386	29888	17843	30188	15380	NA	12997	NA	10692	NA	8468	NA	46839	46839	46840	42066	42066	42066	42066	42065	25714	23012	20386	17843	15380	12997	10692	8468
Netherlands	100-Holding Account	Archer Daniels Midland Europoort B.V. 	30	24160592	open	Account holder	Archer Daniels Midland Europoort B.V.	Elbeweg 125		3198 LC	EUROPOORT ROTTERDAM	Netherlands	30	ADM Europoort B.V.	NL-200400109	2005-01-01					Elbeweg 125		3198 LC	EUROPOORT-ROTTERDAM	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	341960	297826	341960	186474	341961	188112	278007	200232	278007	223205	278007	203618	278006	197140	278006	187683	125236	175286	122162	168287	123343	156023	121119	151672	118896	NA	116672	NA	114449	NA	112225	NA	341960	341960	341961	278007	278007	278007	278006	278006	125236	122162	123343	121119	118896	116672	114449	112225
Netherlands	100-Holding Account	OLAM Cocoa B.V. 	31	35002995	open	Account holder	OLAM Cocoa B.V.	Stationsstraat 76		1541 LJ	KOOG AAN DE ZAAN	Netherlands	31	Olam Cocoa	NL-200400254	2005-01-01					Stationsstraat 76		1541 LJ	KOOG AAN DE ZAAN	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	60987	29467	60987	26834	60988	28181	37695	21630	37695	20868	37694	22016	37694	19692	37694	21376	21610	24838	21235	27442	20855	26938	20471	26591	20083	NA	19692	NA	19295	NA	18897	NA	60987	60987	60988	37695	37695	37694	37694	37694	21610	21235	20855	20471	20083	19692	19295	18897
