National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Croatia	100-Holding Account	Calucem d.o.o. 	204341	040001772	open	Account holder	Calucem d.o.o.	Revelanteova 4		52100	Pula	Croatia	204341	Calucem d.o.o.	HR-327	2011-09-02					Revelanteova 4		52100	Pula	HR	13.827342	44.863779	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		88753	98663	87211	102461	85651	108110	84075	104769	82482	NA	80874	NA	79246	NA	77611	NA	0	0	0	0	0	0	0	0	88753	87211	85651	84075	82482	80874	79246	77611
Croatia	100-Holding Account	Plamen d.o.o. 	204403	050000177	open	Account holder	Plamen d.o.o.	Njemačka 36		34000	Požega	Croatia	204403	Plamen d.o.o.	HR-4	2011-11-16					Njemačka 36		34000	Požega	HR	17.684646	45.335029	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		2176	3033	2139	2477	2100	2168	2062	2667	2023	NA	1983	NA	1944	NA	1904	NA	0	0	0	0	0	0	0	0	2176	2139	2100	2062	2023	1983	1944	1904
Croatia	100-Holding Account	HEP-Proizvodnja d.o.o. 	204425	080434256	open	Account holder	HEP-Proizvodnja d.o.o.	Ulica grada Vukovara 37		10000	Zagreb	Croatia	204425	TE-TO Osijek	HR-338	2011-08-08					Martina Divalta 203		31000	Osijek	HR	18.742246	45.543146	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		59356	121482	50913	119076	43150	90777	36761	99203	31687	NA	26777	NA	22026	NA	17446	NA	0	0	0	0	0	0	0	0	59356	50913	43150	36761	31687	26777	22026	17446
Croatia	100-Holding Account	INA MAZIVA d.o.o. 	205084	080422876	open	Account holder	INA MAZIVA d.o.o.	Radnička cesta 175		10000	Zagreb	Croatia	205084	INA MAZIVA d.o.o.	HR-294	2013-04-23					Radnička cesta 175		10000	Zagreb	HR	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		4344	4253	4269	2870	4192	2990	4115	3211	4037	NA	3958	NA	3879	NA	3799	NA	0	0	0	0	0	0	0	0	4344	4269	4192	4115	4037	3958	3879	3799
Croatia	100-Holding Account	Dilj d.o.o. 	205104	030003092	open	Account holder	Dilj d.o.o.	Ciglarska 33		32100	Vinkovci	Croatia	205104	Pogon Našice	HR-318	2011-08-08					B. Radića 200		31500	Našice	HR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		106	2322	104	4518	102	5265	5613	6016	5506	NA	5399	NA	5290	NA	5181	NA	0	0	0	0	0	0	0	0	106	104	102	5613	5506	5399	5290	5181
Croatia	100-Holding Account	Našicecement d.d. 	205122	050006535	open	Account holder	Našicecement d.d.	Tajnovac 1		31500	Našice	Croatia	205122	Našicecement d.d.	HR-340	2011-09-02					Tajnovac 1		31500	Našice	HR	18.040707	45.452937	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		547598	435852	538086	488526	528464	520087	518740	515541	508911	NA	498988	NA	488940	NA	478858	NA	0	0	0	0	0	0	0	0	547598	538086	528464	518740	508911	498988	488940	478858
Croatia	100-Holding Account	Opeka d.d. 	205176	030005203	open	Account holder	Opeka d.d.	Vukovarska 2015		31000	Osijek	Croatia	205176	Proizvodni pogon Osijek	HR-305	2011-09-15					Vukovarska 215		31000	Osijek	HR	18.7387	45.550537	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		1299	1351	1276	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	1299	1276	0	0	0	0	0	0
Croatia	100-Holding Account	RAZVITAK d.d. 	205183	030037436	open	Account holder	RAZVITAK d.d.	Štefanikova 28		32236	Ilok	Croatia	205183	Proizvodni pogon Razvitak Ilok	HR-308	2011-09-15					Štefanikova 28		32236	Ilok	HR	19.392137	45.221759	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		10140	5118	4983	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	10140	4983	0	0	0	0	0	0
Croatia	100-Holding Account	Opeka d.d. 	205184	030005203	open	Account holder	Opeka d.d.	Vukovarska 2015		31000	Osijek	Croatia	205184	Proizvodni pogon Vladislavci	HR-306	2011-10-19					Kralja Tomislava bb		34404	Vladislavci	HR	18.558539	45.476889	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		1241	951	1220	1468	1198	1892	2351	1668	1154	NA	1131	NA	1108	NA	1086	NA	0	0	0	0	0	0	0	0	1241	1220	1198	2351	1154	1131	1108	1086
Croatia	100-Holding Account	Opeka d.d. 	205185	030005203	open	Account holder	Opeka d.d.	Vukovarska 2015		31000	Osijek	Croatia	205185	Proizvodni pogon Sarvaš	HR-307	2011-09-15					Kolodvorska bb		31000	Sarvaš	HR	18.836794	45.519793	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		9972	12932	12280	12207	12060	13911	11838	10630	11614	NA	11387	NA	11159	NA	10928	NA	0	0	0	0	0	0	0	0	9972	12280	12060	11838	11614	11387	11159	10928
