National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Denmark	100-Holding Account	Nils-Aage Gregersen 	21		closed	Account holder	Nils-Aage Gregersen	Hjulmagervej 20		9000	Aalborg	Denmark	21	Lindholm Central	16130990-1010513886-0585-20041001	2005-01-01					Hjulmalgervej 20		9000	Aalborg	DK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	779	411	584	0	584		NA		NA		NA		NA		NA											NA		NA		NA		NA	779	584	584	0	0	0	0	0	0	0	0	0	0	0	0	0
Denmark	100-Holding Account	Aalborg Varme A/S 	22		open	Account holder	Aalborg Varme A/S	Hjulmagervej 20		9000	Aalborg	Denmark	22	Lyngvej Central	TCO2-586	2005-01-01					Lyngvej 6		9000	Aalborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	2115	1297	1586	75	1586	165	1159	543	1156	117	1156	33	1156	11	1156	360	206	50	46	8	0	329	143	313	124	NA	104	NA	86	NA	68	NA	2115	1586	1586	1159	1156	1156	1156	1156	206	46	0	143	124	104	86	68
Denmark	100-Holding Account	Aalborg Varme A/S 	23		open	Account holder	Aalborg Varme A/S	Hjulmagervej 20		9000	Aalborg	Denmark	23	Svendborgvej Central	TCO2-587	2005-01-01					Svendborgvej 12		9220	Aalborg Ø	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	3472	2903	2604	172	2603	48	2333	2845	2333	218	2333	99	2333	3183	2333	274	1117	103	1000	1972	885	475	387	1907	668	NA	564	NA	463	NA	366	NA	3472	2604	2603	2333	2333	2333	2333	2333	1117	1000	885	387	668	564	463	366
Denmark	100-Holding Account	Aalborg Varme A/S 	24		open	Account holder	Aalborg Varme A/S	Hjulmagervej 20		9000	Aalborg	Denmark	24	Borgmester Jørgensensvej Central	TCO2-588	2005-01-01					Borgmester Jørgensensvej 9		9000	Aalborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	612	427	459	13	460	100	321	72	320	64	320	40	320	16	320	122	51	69	45	11	0	53	35	277	30	NA	26	NA	21	NA	16	NA	612	459	460	321	320	320	320	320	51	45	0	35	30	26	21	16
Denmark	100-Holding Account	Aalborg Varme A/S 	25		open	Account holder	Aalborg Varme A/S	Hjulmagervej 20		9000	Aalborg	Denmark	25	Højvang Varmecentral	TCO2-974	2005-01-01					Hellekisten 4		9230	Svenstrup J	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	440	227	330	21	329	40	182	15	181	36	181	5	181	2	181	97	17	18	16	3	0	22	12	74	11	NA	9	NA	8	NA	6	NA	440	330	329	182	181	181	181	181	17	16	0	12	11	9	8	6
Denmark	100-Holding Account	Aalborg Varme A/S 	26		open	Account holder	Aalborg Varme A/S	Hjulmagervej 20		9000	Aalborg	Denmark	26	Gasværksvej Varmecentral	TCO2-1638	2005-01-01					Gasværksvej 28		9000	Aalborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	5910	6013	4433	1429	4433	298	8695	9005	8691	475	8691	1833	8691	8948	8691	5314	2879	2098	2576	6086	2282	3906	1997	9027	1720	NA	1453	NA	1194	NA	944	NA	5910	4433	4433	8695	8691	8691	8691	8691	2879	2576	2282	1997	1720	1453	1194	944
Denmark	100-Holding Account	Støvring Kraftvarmeværk A.m.b.a. 	27	16276111	open	Account holder	Støvring Kraftvarmeværk A.m.b.a.	Hjedsbækvej 2	Juelstrup	9530	Støvring	Denmark	27	Støvring Varmeværk	TCO2-499	2005-01-01					Hjedsbækvej 2		9530	Støvring	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	35431	22633	26573	20619	26574	16102	22046	18726	22042	19354	22042	24036	22042	21121	22042	16750	11587	17151	10369	15936	9186	15830	8040	19478	6931	NA	5857	NA	4817	NA	3816	NA	35431	26573	26574	22046	22042	22042	22042	22042	11587	10369	9186	8040	6931	5857	4817	3816
Denmark	100-Holding Account	Bjerringbro Varmeværk Amba 	28	17256319	open	Account holder	Bjerringbro Varmeværk Amba	Realskolevej 18		8850	Bjerringbro	Denmark	28	Bjerringbro Kraftvarmeværk (motor 1-4)	TCO2-987	2005-01-01					Realskolevej 18		8850	Bjerringbro	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	58974	22025	44231	27433	44231	11532	36754	18776	36750	12491	36750	17681	36750	14586	36750	15394	8997	13501	8051	12725	7133	11756	6243	20524	5381	NA	4548	NA	3741	NA	2963	NA	58974	44231	44231	36754	36750	36750	36750	36750	8997	8051	7133	6243	5381	4548	3741	2963
Denmark	100-Holding Account	Middelfart Fjernvarme a.m.b.a. 	29	28621027	open	Account holder	Middelfart Fjernvarme a.m.b.a.	Hessgade 21 b		5500	Middelfart	Denmark	29	Nørre-Aaby Kraftvarmeværk A.M.B.A.	TCO2-381	2005-01-01					Grønnegade 7		5580	Nørre Aaby	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	14636	7138	10977	6899	10976	5411	8773	5161	8769	3548	8769	4484	8769	3810	8769	3267	3559	2963	3186	1418	1411	84	0	49	0	NA	0	NA	0	NA	0	NA	14636	10977	10976	8773	8769	8769	8769	8769	3559	3186	1411	0	0	0	0	0
Denmark	100-Holding Account	Jetsmark Energiværk AMBA 	30	17000888	open	Account holder	Jetsmark Energiværk AMBA	Nørregade 81		9490	Pandrup	Denmark	30	Jetsmark Energiværk A.m.b.a.	TCO2-265	2005-01-01					Nørregade 81		9490	Pandrup	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	21173	13881	15880	13484	15880	13777	15672	13804	15668	14407	15668	15420	15668	14684	15668	13571	7382	14064	6606	10838	5852	8673	5122	9719	4415	NA	3731	NA	3069	NA	2431	NA	21173	15880	15880	15672	15668	15668	15668	15668	7382	6606	5852	5122	4415	3731	3069	2431
