National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Norway	100-Holding Account	Gassco AS 	21	983452841	open	Account holder	Gassco AS	Postboks 93		5501	Haugesund	Norway	21	Gassco AS Draupner S/E stigerørsinnretning	NO-2007-1061	2009-04-02					Postboks 93		5501	Haugesund	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		0	13904	0	13339	0	14537	0	13819	0	13871		12438		17243		12813		13096		NA		NA		NA		NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norway	100-Holding Account	Gassco AS 	22	983452841	open	Account holder	Gassco AS	Postboks 93		5501	Haugesund	Norway	22	Gassco AS Kollsnes gassanlegg	NO-2006-81	2009-04-02					Postboks 93		5501	Haugesund	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		64650	83480	64650	64164	64650	65655	64650	66469	64650	65643	69330	63030	68126	63729	66908	62325	65677	63068	64433	NA	63177	NA	61904	NA	60627	NA	0	0	0	64650	64650	64650	64650	64650	69330	68126	66908	65677	64433	63177	61904	60627
Norway	100-Holding Account	Gassco AS 	23	983452841	open	Account holder	Gassco AS	Postboks 93		5501	Haugesund	Norway	23	Gassco AS Kårstø gassprosesseringsanlegg	NO-2006-82	2009-04-02					Postboks 93		5501	Haugesund	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		977088	1200731	977088	1129194	977088	1073963	977088	1046342	977088	1080477	869550	1101492	854447	1191926	839166	1154743	823725	1115941	808120	NA	792361	NA	776406	NA	760396	NA	0	0	0	977088	977088	977088	977088	977088	869550	854447	839166	823725	808120	792361	776406	760396
Norway	100-Holding Account	GE Healthcare AS 	24	914829674	open	Account holder	GE Healthcare AS	Lindesnesveien 208		4521	Lindesnes	Norway	24	GE Healthcare AS Lindesnes Fabrikker	NO-2006-85	2009-04-02					Ramslandsvågen		4521	Spangereid	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		3489	2761	3489	2021	3489	3123	3489	2653	3489	1862	13408	12953	13175	11415	12940	13311	12702	15905	12461	NA	12218	NA	11972	NA	11725	NA	0	0	0	3489	3489	3489	3489	3489	13408	13175	12940	12702	12461	12218	11972	11725
Norway	100-Holding Account	Glava AS 	25	912008754	open	Account holder	Glava AS	Postboks F	Nybråtveien 2	1801	Askim	Norway	25	Glava AS Askim	NO-2006-92	2009-04-02					Postboks F		1801	Askim	NO	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	NA		NA		NA		11972	10499	11972	9725	11972	11002	11972	10396	11972	10574	6247	10602	6138	9953	6028	10718	5917	11088	5805	NA	5692	NA	5577	NA	5462	NA	0	0	0	11972	11972	11972	11972	11972	6247	6138	6028	5917	5805	5692	5577	5462
Norway	100-Holding Account	Glava AS 	26	912008754	open	Account holder	Glava AS	Postboks F	Nybråtveien 2	1801	Askim	Norway	26	Glava AS Stjørdal	NO-2006-93	2009-04-02					Havneveien 22		7500	Stjørdal	NO	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	NA		NA		NA		4568	4126	4568	4428	4568	4716	4568	4148	4568	4302	2387	4201	2345	3888	2304	4081	2262	4527	2218	NA	2175	NA	2132	NA	2087	NA	0	0	0	4568	4568	4568	4568	4568	2387	2345	2304	2262	2218	2175	2132	2087
Norway	100-Holding Account	Glomma Papp AS 	27	912014177	closed	Account holder	Glomma Papp AS	Postboks 145	Statsminister Torps vei 17/19	1701	Sarpsborg	Norway	27	Glomma Papp AS	NO-2007-1012	2009-04-02	2012-12-31				Postboks 145		1701	Sarpsborg	NO	NA	NA	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	NA		NA		NA		8314	10013	8314	10697	8314	17299	8314	5504	8314	125										NA		NA		NA		NA	0	0	0	8314	8314	8314	8314	8314	0	0	0	0	0	0	0	0
Norway	100-Holding Account	Eidsiva Bioenergi AS 	28	980258165	open	Account holder	Eidsiva Bioenergi AS	Kallerudlia 9	Merkantileveien 2	2818	Gjøvik	Norway	28	Eidsiva Bioenergi AS avdeling Hamar	NO-2007-1064	2009-04-02					Postboks 4100		2317	Hamar	NO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		832	1071	832	2466	832	4952	832	2590	832	764	9848	488	8812	405	7806	495	6829	300	5883	NA	4968	NA	4082	NA	3229	NA	0	0	0	832	832	832	832	832	9848	8812	7806	6829	5883	4968	4082	3229
Norway	100-Holding Account	Hellefoss Paper AS 	29	887493642	open	Account holder	Hellefoss Paper AS	Postboks 69	Hellefossveien 113	3301	Hokksund	Norway	29	Hellefoss AS	NO-2007-1058	2009-04-02					Postboks 69		3301	Hokksund	NO	NA	NA	35-Production of pulp	NA	NA	NA	NA	NA	NA	NA		NA		NA		15292	15795	15292	17376	15292	21258	15292	10326	15292	1098	14298	452	14050	318	13799	332	13545	390	13288	NA	13029	NA	12767	NA	12503	NA	0	0	0	15292	15292	15292	15292	15292	14298	14050	13799	13545	13288	13029	12767	12503
Norway	100-Holding Account	Huhtamaki Norway AS 	30	934873319	closed	Account holder	Huhtamaki Norway AS	Viul		3514	Hønefoss	Norway	30	Huhtamaki Norway AS	NO-2007-1149	2009-04-02	2012-12-31				Viul		3514	Hønefoss	NO	NA	NA	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	NA		NA		NA		400	706	400	13	400	136	400	15	400	0										NA		NA		NA		NA	0	0	0	400	400	400	400	400	0	0	0	0	0	0	0	0
