National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Belgium	100-Holding Account	Armstrong Orchidee 	29	476024134	closed	Account holder	Armstrong Orchidee	2° Avenue (Parc Industriel des Hauts Sarts) 4		4040	Herstal	Belgium	29	Catala	VL305	2005-01-01		-	-	0	Grote Baan 302		1620	Drogenbos	BE	NA	NA	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	6516	7397	6516	6743	6517	6431	NA		NA		NA		NA		NA											NA		NA		NA		NA	6516	6516	6517	0	0	0	0	0	0	0	0	0	0	0	0	0
Belgium	100-Holding Account	Durobor Group 	30	0842892782	open	Account holder	Durobor Group	Rue Mademoiselle Hanicq 39		7060	Soignies	Belgium	30	Durobor	WAI046P114	2005-04-01		-	-	0	Rue mademoiselle Hanicq  39		7060	Soignies	BE	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	42186	31512	42185	30199	42185	31240	28466	32197	28466	31639	28466	26711	28466	25069	28467	19870	24760	18999	24329	16250	23894	17155	23455	18155	23010	NA	22562	NA	22107	NA	21652	NA	42186	42185	42185	28466	28466	28466	28466	28467	24760	24329	23894	23455	23010	22562	22107	21652
Belgium	100-Holding Account	Briqueteries De Ploegsteert 	31	0401273162	open	Account holder	Briqueteries De Ploegsteert	Rue du Touquet 228		7783	Bizet (Comines-Warneton)	Belgium	31	Ploegsteert Barry	WAI086P068	2005-04-01		-	-	0	Grand Route, 533		7354	Barry	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	12587	9761	12588	10654	12588	10040	11486	9978	11487	8952	11487	8774	11487	9521	11487	8590	10811/561*****	6946	10623/551*****	8292	10434/541*****	10601	10241/532*****	7084	10048/522*****	NA	9851/512*****	NA	9653/502*****	NA	9454/493*****	NA	12587	12588	12588	11486	11487	11487	11487	11487	11372	11174	10975	10773	10570	10363	10155	9947
Belgium	100-Holding Account	Briqueteries De Ploegsteert 	32	0401273162	open	Account holder	Briqueteries De Ploegsteert	Rue du Touquet 228		7783	Bizet (Comines-Warneton)	Belgium	32	Ploegsteert Site Afma Ploegsteert	WAI087P066	2005-04-01		-	-	0	Rue du Touquet 228		7783	Ploegsteert	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	13037	11391	13037	11603	13037	11057	14189	11290	14189	10360	14189	11737	14190	13622	14190	10899	10655/9076*****	18153	10469/8918*****	17853	10283/8760*****	18930	10093/8602*****	16264	9902/8445*****	NA	9709/8287*****	NA	9514/8129*****	NA	9318/7971*****	NA	13037	13037	13037	14189	14189	14189	14190	14190	19731	19387	19043	18695	18347	17996	17643	17289
Belgium	100-Holding Account	Briqueteries De Ploegsteert 	33	0401273162	open	Account holder	Briqueteries De Ploegsteert	Rue du Touquet 228		7783	Bizet (Comines-Warneton)	Belgium	33	Ploegsteert Site Bristal Ploegsteert	WAI088P066	2005-04-01		-	-	0	Rue du Touquet 228		7783	Ploegsteert	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	9305	8778	9305	8587	9305	8590	11698	8157	11698	7283	11698	6369	11698	8274	11698	7422	8086/5081*****	9849	7946/7438*****	13650	7803/7307*****	11151	7660/7175*****	12502	7515/7043*****	NA	7368/6911*****	NA	7219/6780*****	NA	7071/6648*****	NA	9305	9305	9305	11698	11698	11698	11698	11698	13167	15384	15110	14835	14558	14279	13999	13719
Belgium	100-Holding Account	Briqueteries De Ploegsteert 	34	0401273162	closed	Account holder	Briqueteries De Ploegsteert	Rue du Touquet 228		7783	Bizet (Comines-Warneton)	Belgium	34	Ploegsteert Warneton (La Lys)	WAI089P067	2005-04-01	2014-12-31	-	-	0	Chemin de la briqueterie		7784	Warneton	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	5905	5498	5905	5911	5905	6149	6333	5778	6333	4800	6333	5558	6334	4512	6334	7	821	0	807	0	0		0		0	NA	0	NA	0	NA	0	NA	5905	5905	5905	6333	6333	6333	6334	6334	821	807	0	0	0	0	0	0
Belgium	100-Holding Account	Aperam Stainless Belgium 	35	401277914	open	Account holder	Aperam Stainless Belgium	Swinnenwijerweg 5 Genk-Zuid, Zone 6A		3600	Genk	Belgium	35	Aperam Stainless Belgium	VL202	2005-04-01		-	-	0	Swinnenwijerweg 5		3600	Genk	BE	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	229692	185972	229692	207584	229692	176340	253618	186938	253618	125855	253618	143915	253618	133652	253619	136486	171671	142386	168689	144793	165672	156114	162623	168132	159542	NA	156431	NA	153281	NA	150120	NA	229692	229692	229692	253618	253618	253618	253618	253619	171671	168689	165672	162623	159542	156431	153281	150120
Belgium	100-Holding Account	Ford Werke GmbH 	36	401298403	closed	Account holder	Ford Werke GmbH	Henry Fordstrasse 1		50725	Köln-Niehl	Germany	36	Ford Werke Aktiengesellschaft	VL515	2005-04-01	2015-12-31	-	-	0	Henry Fordlaan 8		3600	Genk	BE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	45584	37181	45584	37850	45583	34728	62839	49680	62839	41385	62839	48812	62838	41807	62838	36848	36333	42764	32516	37347	28799	12320	0		0	NA	0	NA	0	NA	0	NA	45584	45584	45583	62839	62839	62839	62838	62838	36333	32516	28799	0	0	0	0	0
Belgium	100-Holding Account	Nelissen Steenfabrieken 	37	0401333639	open	Account holder	Nelissen Steenfabrieken	Kiezelweg 458-460		3620	Lanaken	Belgium	37	Nelissen Steenfabrieken	VL717	2005-04-01		-	-	0	Kiezelweg 458-460		3620	Lanaken	BE	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	30526	28585	35974	30606	37082	33648	37232	30406	37232	23729	37232	23879	37231	28780	37231	27504	21893	23749	21513	27072	21128	29866	20739	29399	20346	NA	19949	NA	19548	NA	19145	NA	30526	35974	37082	37232	37232	37232	37231	37231	21893	21513	21128	20739	20346	19949	19548	19145
Belgium	100-Holding Account	Pittsburgh Corning Europe 	38	401338785	open	Account holder	Pittsburgh Corning Europe	Albertkade 1		3980	Tessenderlo	Belgium	38	Pittsburgh Corning Europe	VL902	2005-04-01		-	-	0	Albertkade 1		3980	Tessenderlo	BE	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	27533	24428	27533	24681	27533	24795	28089	27505	28089	27170	28089	25174	28089	25804	28089	21553	24650	24940	24222	24354	23789	22845	23351	20317	22909	NA	22462	NA	22010	NA	21556	NA	27533	27533	27533	28089	28089	28089	28089	28089	24650	24222	23789	23351	22909	22462	22010	21556
